,ConstructName,SubjectName,CorrectAnswer,QuestionText,AnswerAText,AnswerBText,AnswerCText,AnswerDText,MisconceptionAtext,MisconceptionBtext,MisconceptionCtext,MisconceptionDtext
1475,Calculate the median as an average from an even numbered list of data,"Averages (mean, median, mode) from a List of Data",A,"What is the median of the following numbers?
\( 1, \quad 0.1, \quad 0.01,\quad 0.001 \)",\( 0.055 \),\( 0.22 \),\( 0.55 \),\( 0.11 \),nan,Does not divide by 2 when finding midpoint,nan,When finding the median from a even dataset does not understand we must find the midpoint of the two values in the middle
1476,Recognise a Fibonacci sequence expressed as a pattern,Other Sequences,D,"Which of the following is the best way to describe this sequence: ![A pattern with 6 terms made of green and red dots. The first term is a green dot, the second a red dot, the third is one red and one green dot. The fourth term is made of one green and two red dots. The fifth term is made from two green dots and three red dots. The sixth term is made of five red dots and three green dots. ]()",Linear,Quadratic,Geometric,Fibonacci,Does not recognise that a linear sequence must increase or decrease by same amount,Does not understand the term quadratic,Does not know what a Fibonacci sequence is,nan
1477,"Represent the solution to a graphical inequality involving a combination of vertical, horizontal and diagonal lines",Graphing Linear Inequalities (Shading Regions),D,"Which letter describes the region where \( \boldsymbol{x}+\boldsymbol{y} \leq \mathbf{3} \) and \( \boldsymbol{y} \leq \mathbf{1} \) ? ![A set of axes with two straight lines drawn on. The line x+y=3 goes through points (3,0) and (0,3). The line y=1 is a horizontal line going through (0,1). The lines intersect one another at (2,1).
A is the region below x+y=3 and above y=1.
B is the region above both lines.
C is the region below y=1 but above x+y=3.
D is the region below both lines. ]()",A,B,C,D,nan,Mixes up greater than and less than symbols,nan,nan
1478,Describe simple directions to translate a shape or object using words not vectors,Translation and Vectors,A,"Describe the movements to get from

\[
(5,-2) \text { to }(0,1)
\]","Left \( 5 \) squares, up \( 3 \) squares","Left \( 5 \) squares, down \( 1 \) square","Right \( 5 \) squares, down \( 3 \) squares","Left \( 5 \) squares, up \( 4 \) squares",nan,Confuses negative and positive coordinates when working with graphs in four quadrants,nan,"When finding the distance between coordinates, includes the starting number"
1479,Convert between g and kg,Weight Units,C,\( 4000 \mathrm{~g} \) is the same as \( k g \),\( 400 \),\( 4000000 \),\( 4 \),\( 40 \),Thinks there are 10g in a kilogram,Multiplies rather than divides,nan,Thinks there are 100g in a kilogram
1480,Divide decimals by 100,Multiplying and Dividing with Decimals,B,\( 3.06 \div 100= \),\( 0.36 \),\( 0.0306 \),\( 0.036 \),\( 0.00306 \),Does not understand the value of zeros as placeholders,nan,Does not understand the value of zeros as placeholders,Divided by 100 rather than 10
1481,Calculate the square of a number,Multiplying and Dividing with Decimals,A,\( 0.7^{2}= \),\( 0.49 \),\( 1.4 \),\( 0.14 \),\( 4.9 \),nan,Mixes up squaring and multiplying by 2 or doubling,Mixes up squaring and multiplying by 2 or doubling,"When multiplying decimals, divides by the wrong power of 10 when reinserting the decimal"
1482,Find missing angles using vertically opposite angles,"Basic Angle Facts (straight line, opposite, around a point, etc)",A,What is the size of angle \( y \) ? ![A diagram showing 3 lines crossing at a point to form 6 angles. One angle is marked as 43 degrees. Another angle is marked as y. There are two blank angles between each marked angle.](),\( 43^{\circ} \),\( 137^{\circ} \),\( 47^{\circ} \),Not enough information,nan,Believes vertically opposite angles sum to 180 degrees,Believes vertically opposite angles sum to 90 degrees,Does not know that vertically opposite angles are equal
1483,Identify unit fractions when part of a shape,Fractions of an Amount,D,"What fraction of the shape is shaded? ![A rectangle split in half. One half is split in half again, and one half of that is split in half again, with one of those parts shaded.]()",\( \frac{1}{3} \),\( 1 \),\( \frac{1}{4} \),\( \frac{1}{8} \),Does not understand a denominator represents equal parts,Does not know how to write a fraction - just given an integer answer,Does not understand a denominator represents equal parts,nan
1484,Calculate the cube of a number,"Squares, Cubes, etc",B,"What is the value of ""\( 3 \) cubed""?",\( 9 \),\( 27 \),\( 33 \),\( 333 \),Mixes up square numbers and cube numbers,nan,Adds the index to the number,Repeats the digits three times when cubing a number
1485,Substitute negative integer values into expressions involving no powers or roots,Distance Between Two Co-ordinates,C,"Amy is trying to work out the distance between these two points: \( (1,-6) \) and \( (-5,2) \) She labels them like this: \( \begin{array}{rrrr}x_{1} & y_{1} & x_{2} & y_{2} \\ (1, & -6) & (-5, & 2)\end{array} \) And then decides to use this formula: \( \sqrt{\left(x_{2}-x_{1}\right)^{2}+\left(y_{2}-y_{1}\right)^{2}} \) What does the second bracket equal?",\( (-8)^{2} \),\( (-4)^{2} \),\( (8)^{2} \),\( (4)^{2} \),Believes subtraction is commutative ,"When subtracting a negative number from a positive number, uses a method which assumes one of the negative signs can be ignored ",nan,nan
1486,Add decimals where the numbers involved have a different number of decimal places,Adding and Subtracting with Decimals,D,How should you line up the digits to calculate \( 0.7+0.54 \) ?,"![A column addition of 0.7 + 0.54. The 0 of 0.7 is directly above the decimal point of 0.54, the decimal point of 0.7 is directly above the 5 of 0.54 and the 7 of 0.7 is directly above the 4 of 0.54.]()",![A column addition of 0.07 + 0.54 with the decimal points lined up.](),![A column addition of 0.7 + 5.4 with the decimal points lined up.](),![A column addition of 0.70 + 0.54 with the decimal points lined up.](),"Thinks that when adding decimals with a different number of decimal places, you should line up the digits to the right ",Does not understand the value of zeros as placeholders,nan,nan
1487,Identify a unit of volume or capacity,Volume and Capacity Units,C,"Tom and Katie are discussing units of volume
Tom says litres is a unit of volume
Katie says \( m^{3} \) is a unit of volume
Who is correct?","Only
Tom","Only
Katie",Both Tom and Katie,Neither is correct,Does not know that units of volume are usually cubed,Does not recognise litres as a unit of volume,nan,Does not recognise a unit of volume
1488,Understand the notation for powers,"Squares, Cubes, etc",C,To calculate \( 53^{2} \) you need to do...,\( 53+2 \),\( 53 \times 2 \),\( 53 \times 53 \),\( 532 \times 1 \),Mixes up squaring and addition,Mixes up squaring and multiplying by 2 or doubling,nan,nan
1489,Identify a unit of length,Length Units,B,"Sally has answered a question on perimeter and got an answer of \( 500 \).

Behind the star she has written the units that she used.
Which of the following units is definitely wrong? \( 500 \bigstar \)",\( \mathrm{cm} \),\( m l \),\( \mathrm{mm} \),\( \mathrm{km} \),Does not recognise a unit of length,nan,Does not recognise a unit of length,Does not recognise a unit of length
1490,Interpret continuous data using a line graph,Time Series and Line Graphs,C,"This graph shows the temperature in Dan's garden in a \( 24 \) hour period.

In which \( 4 \) hour period did the temperature fall the most? ![A graph showing the temperature in Dan's house over a 24 hours period. At 00:00 the temperature is -2 degrees, at 04:00 it is -4 degrees, at 08:00 it is 0 degrees, at 12:00 it is 5 degrees, at 16:00 it is 8 degrees, at 20:00 it is 3 degrees and at 00:00 it is 0 degrees.]()",\( \begin{array}{c}00: 00 \text { to } \\ 04: 00\end{array} \),\( \begin{array}{c}08: 00 \text { to } \\ 12: 00\end{array} \),\( \begin{array}{c}16: 00 \text { to } \\ 20: 00\end{array} \),\( \begin{aligned} 20 & : 00 \text { to } \\ 00 & : 00\end{aligned} \),Believes a steeper downwards line on a graph means a slower decrease,Mixes up colder and hotter when comparing temperatures,nan,Believes a steeper downwards line on a graph means a slower decrease
1491,Raise negative numbers to powers,Multiplying and Dividing Negative Numbers,C,\( (-2)^{4}= \),\( -16 \),\( -8 \),\( 16 \),\( 8 \),Believes multiplying two negatives gives a negative answer,Multiplies by the index,nan,nan
1492,"Know that probabilities must lie between 0, impossible, and 1, certain",Probability of Single Events,D,"The probability of an event occurring is \( 0 \).

Which of the following most accurately describes the likelihood of the event occurring?",Certain,Unlikely,Even chance,Impossible,Does not understand that a probability of 0 represents something that is impossible,Does not understand that a probability of 0 represents something that is impossible,Does not understand that a probability of 0 represents something that is impossible,nan
1493,Use the order of operations to carry out calculations involving powers,BIDMAS,A,\( 8-7 \div 6^{3}= \) Which calculation should you do first?,\( 6^{3} \),\( 7 \div 6 \),\( 8-7 \),It doesn't matter: you get the same answer,nan,Believes division is carried out before a power,Carries out operations from left to right regardless of priority order,Believes order of operations does not affect the answer to a calculation
1494,Form expressions from situations described in words,Writing Expressions,A,"Which expression correctly represents the following description?
""Subtract five from \( \mathrm{h} \) and then multiply by six.""",\( 6(h-5) \),\( 6(5-h) \),\( (5-h) \times 6 \),\( (h-5) \times 6 \),nan,"Subtracts from left to right, ignoring the word ‘from’","Subtracts from left to right, ignoring the word ‘from’",Does not realize we can omit the multiplication symbol in algebraic expressions
1495,Simplify algebraic expressions to maintain equivalence by collecting like terms involving just two linear variables,Simplifying Expressions by Collecting Like Terms,B,"Tom and Katie are arguing about what term could replace the star in this addition pyramid.
Tom says it could be: \( f \)
Katie says it could be: \( 2 f \)
Who is correct? ![A diagram showing 3 rows of boxes. the bottom row has 3 boxes, containing a star, 3g and 2g from left to right. The next row up contains two boxes, overlapping the joins of the boxes below. Both are empty. The top row is one box, centered over the join of the two below, containing 2f + 8g.]()",Only Tom,"Only
Katie",Both Tom and Katie,Neither is correct,Assumes an addition pyramid works in a different way to how it actually does,nan,Assumes an addition pyramid works in a different way to how it actually does,nan
